dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
m4_weekly/W/short,moiraic_base_11,359307.12149132206,359307.12149132206,293.3821847546604,2.322131865385268,0.0708473014300248,0.0700411538074428,15.240576513093403,599.4223231506498,0.1092054471694791,0.0534496822028419,0.0420323377409673,Econ/Fin,1
m4_yearly/A/short,moiraic_base_11,4083377.828617858,4083377.828617858,981.0202628288138,3.647282060559485,0.1728068376624547,0.1645191945692316,32.45466547636027,2020.7369518613395,0.3240345359105086,0.1573111459617395,0.1269423276008175,Econ/Fin,1
m_dense/D/short,moiraic_base_11,9687.52,9687.52,52.09891203703704,0.7640830345147839,0.13282292891291,0.1103655553747106,7.06433333280941,98.4252000251968,0.1703885802378446,0.0901909231747008,0.0728737799287368,Transport,1
m_dense/H/long,moiraic_base_11,44693.862716049385,44693.862716049385,97.182862654321,0.8087143502056554,0.3346382688415276,0.2253197036554784,10.351352204201191,211.4092304419308,0.3659806298620305,0.1682379014940553,0.1396527989943984,Transport,1
m_dense/H/medium,moiraic_base_11,46507.102222222224,46507.102222222224,95.29796875,0.7908784661477919,0.3314028911312801,0.2206567891438802,10.224006085268062,215.65505378317064,0.3752125484615418,0.1658064260058916,0.1377882823191387,Transport,1
m_dense/H/short,moiraic_base_11,43916.28611111111,43916.28611111111,91.08287326388889,0.7925556976498973,0.304430284972936,0.2176502058241102,8.911222253184372,209.5621294774204,0.3717110267737518,0.1615583332105411,0.1332466875007581,Transport,1
restaurant/D/short,moiraic_base_11,142.8813145021948,142.8813145021948,7.150905721359274,0.6889575915741852,0.5962631241262287,0.4009335112524954,5.16063576332175,11.953297223034104,0.5501184337154248,0.3291012497790385,0.2605820814712621,Sales,1
saugeen/D/short,moiraic_base_11,975.1053125,975.1053125,12.10415283203125,2.688262070571657,0.279942881266276,0.3243786875406901,27.0670354625922,31.226676296077365,1.0114394854670383,0.3920563942305309,0.3248322974597328,Nature,1
saugeen/M/short,moiraic_base_11,404.0600818452381,404.0600818452381,12.687915620349704,0.7434766405276985,0.3813158671061198,0.3717967896234421,5.167477192989598,20.10124577843965,0.603499701441295,0.3809292903132579,0.300915698253104,Nature,1
saugeen/W/short,moiraic_base_11,1205.6416015625,1205.6416015625,16.482366943359374,1.3373385600427388,0.3991309165954589,0.4285451412200928,11.759288417319766,34.72235017337536,1.0481230124969452,0.4975339516908782,0.4053071724497505,Nature,1
solar/10T/long,moiraic_base_11,26.863177970397405,26.863177970397405,2.7348362832173816,1.193743821585979,3.301209645084169,1.5335153398722627,11.794861837379514,5.182969995128025,1.120216038837928,0.5910911062452218,0.4862644774016043,Energy,1
solar/10T/medium,moiraic_base_11,22.202210517584604,22.202210517584604,2.394279678773364,1.047100499404509,3.7790980997187873,1.4924772934638355,10.641072847157162,4.711922168031281,1.045594276800051,0.5313001870381221,0.4395100978869221,Energy,1
solar/10T/short,moiraic_base_11,29.9677714178452,29.9677714178452,2.6552981931217685,1.1648612552191866,6.1333776066021,1.5636821366284597,10.613000857191135,5.474282730901392,1.5924682260734868,0.7724259434807269,0.6408724764733728,Energy,1
solar/D/short,moiraic_base_11,123193.46763990268,123193.46763990268,252.20176399026764,0.9830210108323488,1.0498409670344817,0.4291963303466203,5.477721536641708,350.98926997830387,0.5070599633466714,0.3643456599478835,0.2750832682003867,Energy,1
solar/H/long,moiraic_base_11,684.2275370032442,684.2275370032442,13.198376672749392,1.0044629016777509,4.570127973637272,1.426258294445078,7.223969121368935,26.157743346918217,0.9069367425532888,0.4576118278943549,0.3623887372520238,Energy,1
solar/H/medium,moiraic_base_11,660.6815807481752,660.6815807481752,12.05111039433166,0.9210965067715317,4.599002959711325,1.4160653887003878,7.472662380289554,25.703726981668925,0.925908262447024,0.4341091349799422,0.3467842250301375,Energy,1
solar/H/short,moiraic_base_11,657.4552859681137,657.4552859681137,11.293254628073376,0.870849416589776,4.640587690597086,1.406848547446131,5.958257480617927,25.640890896536995,0.9451317793710092,0.4162731273491917,0.3278274189884944,Energy,1
solar/W/short,moiraic_base_11,2139239.153284672,2139239.153284672,1177.6619668111314,1.2907950410313695,0.2695047455112429,0.2267360095560115,6.313326415853629,1462.613808660602,0.2985560454975295,0.240390250428411,0.1759664547133711,Energy,1
sz_taxi/15T/long,moiraic_base_11,17.716197582799147,17.716197582799147,2.8976748909366097,0.5499881789803205,7856636838084.537,0.4183989261290287,7.304421084017137,4.209061366005389,0.3895832022991019,0.2682036124135093,0.2227644609654944,Transport,1
sz_taxi/15T/medium,moiraic_base_11,17.868103966346155,17.868103966346155,2.89506356002938,0.5643424882713391,12102378118958.557,0.4208635118272569,6.315369340720473,4.227068010612812,0.3933992192284531,0.2694339767595061,0.2190351256989539,Transport,1
sz_taxi/15T/short,moiraic_base_11,16.97245101090316,16.97245101090316,2.7679839640746624,0.552319877332954,1152102033952.6497,0.400259520981338,3.963211818192689,4.119763465407106,0.3852155169356338,0.258818347835705,0.2038818507531451,Transport,1
sz_taxi/H/short,moiraic_base_11,7.360625438201121,7.360625438201121,1.88048341539171,0.572985287494754,0.9827621003501436,0.3010103030082507,4.145745128912742,2.713047260591146,0.2527371003753413,0.1751786386524144,0.1382186097640925,Transport,1
temperature_rain/D/short,moiraic_base_11,188.5237940571017,188.5237940571017,5.82222089240479,1.347979014600104,16.50841652135765,1.5350486454331018,20.91019706373348,13.730396718853454,1.6164307166180083,0.6854293347908516,0.5536379976099552,Nature,1
us_births/D/short,moiraic_base_11,230421.7333333333,230421.7333333333,320.64484375,0.472008806114539,0.030548973083496,0.0301815382639567,4.229862056111537,480.0226383550398,0.0449982271867441,0.0300578522187298,0.024380834892256,Healthcare,1
us_births/M/short,moiraic_base_11,86148090.66666667,86148090.66666667,7680.139322916667,0.8690601831883257,0.023708534737428,0.0240415756901105,4.918002568320988,9281.599574785949,0.0288285849981387,0.0238544603744507,0.0185025014137661,Healthcare,1
us_births/W/short,moiraic_base_11,4213992.0,4213992.0,1517.833984375,1.3790140976911498,0.0202385208436421,0.0205109907048089,9.505971345312604,2052.801013249945,0.0278665724686436,0.020604447507551,0.0161678438778202,Healthcare,1
bitbrains_fast_storage/5T/long,moiraie_base_7,4383983.357108095,4383983.357108095,332.8090414117367,0.9677644317991482,2.927179992028713,0.8435006394945843,17.761637905682722,2093.796398198281,5.533278673815993,0.879514919827613,0.650858843737617,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,moiraie_base_7,3179694.79423648,3179694.79423648,262.8548618460233,1.0437850081111335,3.0170165828143545,0.8201238550571527,22.827473869482453,1783.1698725125657,5.41776240665287,0.798625644627295,0.5981771516279172,Web/CloudOps,2
bitbrains_fast_storage/5T/short,moiraie_base_7,2087557.1242216127,2087557.1242216127,174.91804555898057,0.7567342042230445,2.2364545745874183,0.7670447570213008,14.64369898439386,1444.8380961968066,4.536434292656359,0.5491994032873982,0.4185421649859645,Web/CloudOps,2
bitbrains_fast_storage/H/short,moiraie_base_7,2404229.8384014945,2404229.8384014945,259.7665611558449,1.0281716261731966,2.850719918300777,0.5886521719181679,21.42280647813005,1550.557911979264,4.419593667256136,0.7404190709547838,0.5697147630303824,Web/CloudOps,2
bitbrains_rnd/5T/long,moiraie_base_7,2424976.546410845,2424976.546410845,165.44287094628092,3.425246770787872,0.6360640150338412,0.7049747770000413,118.98055130725876,1557.233619727896,5.965411303449149,0.6337743803594964,0.6041193901132405,Web/CloudOps,2
bitbrains_rnd/5T/medium,moiraie_base_7,2265701.705037991,2265701.705037991,146.74454307574004,4.5099311494811785,0.3988846641776267,0.7229062839682584,163.47023134193145,1505.2248021601265,6.333248110391728,0.6174291034874015,0.606278761958019,Web/CloudOps,2
bitbrains_rnd/5T/short,moiraie_base_7,1903246.7880367013,1903246.7880367013,131.47123512674617,1.7654030997690977,1.0183084171500756,0.6915412204242075,55.48204793844325,1379.5821063049134,5.644851732240784,0.5379423420711015,0.4276691906680787,Web/CloudOps,2
bitbrains_rnd/H/short,moiraie_base_7,1747577.9167128426,1747577.9167128426,139.95332821291186,5.968402652072587,0.939249959928871,0.569322198671299,206.5621006976692,1321.9598771191363,5.785543358906285,0.6125042541862805,0.5710472128332418,Web/CloudOps,2
bizitobs_application/10S/long,moiraie_base_7,23088039.25333333,23088039.25333333,2592.075,6.983380026270211,0.1066771358913845,0.0994747924804687,93.11144370471996,4805.001483177017,0.185309701066312,0.0999659719301204,0.0898491860032569,Web/CloudOps,2
bizitobs_application/10S/medium,moiraie_base_7,19691733.33333333,19691733.33333333,2137.123541666667,5.215512993671317,0.0789352671305338,0.0763638623555501,55.01070403326393,4437.536854307053,0.174249011817305,0.0839185515508393,0.0702593466022952,Web/CloudOps,2
